Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
PER,82.921,0 days 00:00:29.025000,0 days 00:00:18.117000,0 days 00:00:35.779000
PER,83.704,0 days 00:00:29.511000,0 days 00:00:18.198000,0 days 00:00:35.995000
PER,83.664,0 days 00:00:29.259000,0 days 00:00:18.263000,0 days 00:00:36.142000
PER,98.693,0 days 00:00:29.415000,0 days 00:00:18.259000,0 days 00:00:51.019000
PER,87.909,0 days 00:00:34.380000,0 days 00:00:18.040000,0 days 00:00:35.489000
PER,84.122,0 days 00:00:28.669000,0 days 00:00:17.803000,0 days 00:00:37.650000
PER,103.836,0 days 00:00:29.895000,0 days 00:00:28.248000,0 days 00:00:45.693000
PER,84.269,0 days 00:00:31.212000,0 days 00:00:17.742000,0 days 00:00:35.315000
PER,81.84,0 days 00:00:28.441000,0 days 00:00:17.929000,0 days 00:00:35.470000
PER,81.711,0 days 00:00:28.353000,0 days 00:00:17.751000,0 days 00:00:35.607000
PER,82.051,0 days 00:00:28.506000,0 days 00:00:17.651000,0 days 00:00:35.894000
PER,81.869,0 days 00:00:28.590000,0 days 00:00:17.918000,0 days 00:00:35.361000
PER,81.849,0 days 00:00:28.617000,0 days 00:00:18.014000,0 days 00:00:35.218000
PER,81.527,0 days 00:00:28.583000,0 days 00:00:17.881000,0 days 00:00:35.063000
PER,81.495,0 days 00:00:28.513000,0 days 00:00:17.809000,0 days 00:00:35.173000
PER,82.246,0 days 00:00:28.587000,0 days 00:00:17.932000,0 days 00:00:35.727000
PER,81.557,0 days 00:00:28.521000,0 days 00:00:17.600000,0 days 00:00:35.436000
PER,82.152,0 days 00:00:28.742000,0 days 00:00:18.141000,0 days 00:00:35.269000
PER,82.126,0 days 00:00:28.645000,0 days 00:00:18.042000,0 days 00:00:35.439000
PER,82.18,0 days 00:00:28.599000,0 days 00:00:17.955000,0 days 00:00:35.626000
PER,82.359,0 days 00:00:28.718000,0 days 00:00:18.013000,0 days 00:00:35.628000
PER,82.441,0 days 00:00:28.807000,0 days 00:00:18.016000,0 days 00:00:35.618000
PER,82.566,0 days 00:00:28.869000,0 days 00:00:18.127000,0 days 00:00:35.570000
PER,82.962,0 days 00:00:28.911000,0 days 00:00:18.114000,0 days 00:00:35.937000
PER,99.44,0 days 00:00:31.486000,0 days 00:00:18.229000,0 days 00:00:49.725000
PER,87.672,0 days 00:00:34.252000,0 days 00:00:18.108000,0 days 00:00:35.312000
PER,81.218,0 days 00:00:28.323000,0 days 00:00:17.862000,0 days 00:00:35.033000
PER,81.245,0 days 00:00:28.319000,0 days 00:00:18.045000,0 days 00:00:34.881000
PER,81.448,0 days 00:00:28.423000,0 days 00:00:17.834000,0 days 00:00:35.191000
PER,81.045,0 days 00:00:28.400000,0 days 00:00:17.836000,0 days 00:00:34.809000
PER,80.998,0 days 00:00:28.268000,0 days 00:00:17.817000,0 days 00:00:34.913000
PER,81.35,0 days 00:00:28.442000,0 days 00:00:17.795000,0 days 00:00:35.113000
PER,80.798,0 days 00:00:28.267000,0 days 00:00:17.739000,0 days 00:00:34.792000
PER,80.706,0 days 00:00:28.222000,0 days 00:00:17.702000,0 days 00:00:34.782000
PER,80.769,0 days 00:00:28.262000,0 days 00:00:17.736000,0 days 00:00:34.771000
PER,80.428,0 days 00:00:28.204000,0 days 00:00:17.718000,0 days 00:00:34.506000
PER,80.388,0 days 00:00:28.091000,0 days 00:00:17.734000,0 days 00:00:34.563000
PER,80.836,0 days 00:00:28.191000,0 days 00:00:17.724000,0 days 00:00:34.921000
PER,80.76,0 days 00:00:28.140000,0 days 00:00:17.803000,0 days 00:00:34.817000
PER,80.871,0 days 00:00:28.244000,0 days 00:00:17.792000,0 days 00:00:34.835000
PER,81.038,0 days 00:00:28.284000,0 days 00:00:17.866000,0 days 00:00:34.888000
PER,81.15,0 days 00:00:28.380000,0 days 00:00:17.743000,0 days 00:00:35.027000
PER,81.544,0 days 00:00:28.466000,0 days 00:00:17.814000,0 days 00:00:35.264000
PER,81.63,0 days 00:00:28.537000,0 days 00:00:17.969000,0 days 00:00:35.124000
PER,81.616,0 days 00:00:28.522000,0 days 00:00:17.986000,0 days 00:00:35.108000
PER,81.849,0 days 00:00:28.564000,0 days 00:00:17.943000,0 days 00:00:35.342000
PER,90.3,0 days 00:00:28.769000,0 days 00:00:17.883000,0 days 00:00:43.648000
PER,121.742,0 days 00:00:42.725000,0 days 00:00:40.289000,0 days 00:00:38.728000
ALO,84.284,0 days 00:00:29.590000,0 days 00:00:18.419000,0 days 00:00:36.275000
ALO,82.978,0 days 00:00:28.865000,0 days 00:00:18.223000,0 days 00:00:35.890000
ALO,83.742,0 days 00:00:29.019000,0 days 00:00:18.082000,0 days 00:00:36.641000
ALO,83.294,0 days 00:00:28.967000,0 days 00:00:18.355000,0 days 00:00:35.972000
ALO,83.196,0 days 00:00:29.130000,0 days 00:00:18.130000,0 days 00:00:35.936000
ALO,82.795,0 days 00:00:28.901000,0 days 00:00:18.077000,0 days 00:00:35.817000
ALO,82.769,0 days 00:00:28.605000,0 days 00:00:18.317000,0 days 00:00:35.847000
ALO,83.345,0 days 00:00:29.058000,0 days 00:00:18.168000,0 days 00:00:36.119000
ALO,82.608,0 days 00:00:28.563000,0 days 00:00:18.363000,0 days 00:00:35.682000
ALO,82.939,0 days 00:00:28.895000,0 days 00:00:18.338000,0 days 00:00:35.706000
ALO,82.904,0 days 00:00:28.712000,0 days 00:00:18.340000,0 days 00:00:35.852000
ALO,83.187,0 days 00:00:28.986000,0 days 00:00:18.324000,0 days 00:00:35.877000
ALO,83.455,0 days 00:00:29.200000,0 days 00:00:18.278000,0 days 00:00:35.977000
ALO,83.138,0 days 00:00:28.907000,0 days 00:00:18.401000,0 days 00:00:35.830000
ALO,83.239,0 days 00:00:29.002000,0 days 00:00:18.450000,0 days 00:00:35.787000
ALO,108.609,0 days 00:00:30.028000,0 days 00:00:18.457000,0 days 00:01:00.124000
ALO,90.723,0 days 00:00:36.412000,0 days 00:00:18.223000,0 days 00:00:36.088000
ALO,82.928,0 days 00:00:28.883000,0 days 00:00:18.355000,0 days 00:00:35.690000
ALO,82.831,0 days 00:00:28.729000,0 days 00:00:18.285000,0 days 00:00:35.817000
ALO,82.704,0 days 00:00:28.737000,0 days 00:00:18.277000,0 days 00:00:35.690000
ALO,82.478,0 days 00:00:28.735000,0 days 00:00:18.288000,0 days 00:00:35.455000
ALO,82.441,0 days 00:00:28.625000,0 days 00:00:18.197000,0 days 00:00:35.619000
ALO,82.287,0 days 00:00:28.695000,0 days 00:00:18.171000,0 days 00:00:35.421000
ALO,82.708,0 days 00:00:28.728000,0 days 00:00:18.219000,0 days 00:00:35.761000
ALO,82.988,0 days 00:00:28.899000,0 days 00:00:18.353000,0 days 00:00:35.736000
ALO,83.257,0 days 00:00:28.790000,0 days 00:00:18.310000,0 days 00:00:36.157000
ALO,82.259,0 days 00:00:28.746000,0 days 00:00:17.966000,0 days 00:00:35.547000
ALO,81.98,0 days 00:00:28.578000,0 days 00:00:18.020000,0 days 00:00:35.382000
ALO,82.175,0 days 00:00:28.685000,0 days 00:00:17.887000,0 days 00:00:35.603000
ALO,82.355,0 days 00:00:28.794000,0 days 00:00:17.957000,0 days 00:00:35.604000
ALO,82.491,0 days 00:00:28.885000,0 days 00:00:17.888000,0 days 00:00:35.718000
ALO,82.649,0 days 00:00:28.882000,0 days 00:00:18.031000,0 days 00:00:35.736000
ALO,82.918,0 days 00:00:28.788000,0 days 00:00:18.042000,0 days 00:00:36.088000
ALO,85.73,0 days 00:00:31.068000,0 days 00:00:18.302000,0 days 00:00:36.360000
ALO,82.714,0 days 00:00:28.579000,0 days 00:00:18.254000,0 days 00:00:35.881000
ALO,82.862,0 days 00:00:28.779000,0 days 00:00:18.217000,0 days 00:00:35.866000
ALO,82.566,0 days 00:00:28.719000,0 days 00:00:18.232000,0 days 00:00:35.615000
ALO,82.772,0 days 00:00:28.724000,0 days 00:00:18.187000,0 days 00:00:35.861000
ALO,82.714,0 days 00:00:28.768000,0 days 00:00:18.180000,0 days 00:00:35.766000
ALO,98.988,0 days 00:00:28.767000,0 days 00:00:18.183000,0 days 00:00:52.038000
ALO,87.347,0 days 00:00:33.772000,0 days 00:00:18.354000,0 days 00:00:35.221000
ALO,81.724,0 days 00:00:28.361000,0 days 00:00:18.176000,0 days 00:00:35.187000
ALO,81.394,0 days 00:00:28.280000,0 days 00:00:18.160000,0 days 00:00:34.954000
ALO,81.454,0 days 00:00:28.352000,0 days 00:00:18.080000,0 days 00:00:35.022000
ALO,81.344,0 days 00:00:28.221000,0 days 00:00:18.170000,0 days 00:00:34.953000
ALO,81.183,0 days 00:00:28.291000,0 days 00:00:18.101000,0 days 00:00:34.791000
ALO,81.347,0 days 00:00:28.288000,0 days 00:00:18.181000,0 days 00:00:34.878000
ALO,81.122,0 days 00:00:28.266000,0 days 00:00:18.051000,0 days 00:00:34.805000
ALO,80.736,0 days 00:00:28.053000,0 days 00:00:18.004000,0 days 00:00:34.679000
ALO,80.938,0 days 00:00:28.169000,0 days 00:00:18.104000,0 days 00:00:34.665000
ALO,80.493,0 days 00:00:27.981000,0 days 00:00:18.004000,0 days 00:00:34.508000
ALO,80.867,0 days 00:00:28.122000,0 days 00:00:18.029000,0 days 00:00:34.716000
ALO,81.035,0 days 00:00:28.123000,0 days 00:00:18.064000,0 days 00:00:34.848000
ALO,80.952,0 days 00:00:28.152000,0 days 00:00:18.067000,0 days 00:00:34.733000
ALO,80.752,0 days 00:00:27.909000,0 days 00:00:17.991000,0 days 00:00:34.852000
ALO,95.183,0 days 00:00:27.994000,0 days 00:00:18.820000,0 days 00:00:48.369000
ALO,128.461,0 days 00:00:40.972000,0 days 00:00:38.589000,0 days 00:00:48.900000
LEC,83.014,0 days 00:00:28.731000,0 days 00:00:17.982000,0 days 00:00:36.301000
LEC,82.776,0 days 00:00:28.753000,0 days 00:00:17.912000,0 days 00:00:36.111000
LEC,82.519,0 days 00:00:28.753000,0 days 00:00:18.015000,0 days 00:00:35.751000
LEC,82.632,0 days 00:00:28.895000,0 days 00:00:17.930000,0 days 00:00:35.807000
LEC,82.673,0 days 00:00:28.817000,0 days 00:00:17.824000,0 days 00:00:36.032000
LEC,82.684,0 days 00:00:28.963000,0 days 00:00:17.949000,0 days 00:00:35.772000
LEC,82.983,0 days 00:00:28.769000,0 days 00:00:17.823000,0 days 00:00:36.391000
LEC,96.036,0 days 00:00:28.769000,0 days 00:00:17.994000,0 days 00:00:49.273000
LEC,87.861,0 days 00:00:33.912000,0 days 00:00:18.358000,0 days 00:00:35.591000
LEC,82.647,0 days 00:00:28.900000,0 days 00:00:18.018000,0 days 00:00:35.729000
LEC,81.841,0 days 00:00:28.454000,0 days 00:00:18.244000,0 days 00:00:35.143000
LEC,82.222,0 days 00:00:28.716000,0 days 00:00:18.198000,0 days 00:00:35.308000
LEC,81.952,0 days 00:00:28.647000,0 days 00:00:18.127000,0 days 00:00:35.178000
LEC,81.735,0 days 00:00:28.447000,0 days 00:00:18.202000,0 days 00:00:35.086000
LEC,82.247,0 days 00:00:28.598000,0 days 00:00:18.349000,0 days 00:00:35.300000
LEC,97.435,0 days 00:00:28.508000,0 days 00:00:18.084000,0 days 00:00:50.843000
LEC,88.896,0 days 00:00:35.361000,0 days 00:00:18.174000,0 days 00:00:35.361000
LEC,81.881,0 days 00:00:28.197000,0 days 00:00:18.205000,0 days 00:00:35.479000
LEC,81.885,0 days 00:00:28.409000,0 days 00:00:18.110000,0 days 00:00:35.366000
LEC,82.058,0 days 00:00:28.477000,0 days 00:00:18.114000,0 days 00:00:35.467000
LEC,81.722,0 days 00:00:28.368000,0 days 00:00:18.072000,0 days 00:00:35.282000
LEC,81.932,0 days 00:00:28.419000,0 days 00:00:18.062000,0 days 00:00:35.451000
LEC,81.852,0 days 00:00:28.455000,0 days 00:00:18.042000,0 days 00:00:35.355000
LEC,81.951,0 days 00:00:28.587000,0 days 00:00:18.078000,0 days 00:00:35.286000
LEC,82.042,0 days 00:00:28.596000,0 days 00:00:18.091000,0 days 00:00:35.355000
LEC,81.822,0 days 00:00:28.590000,0 days 00:00:18.059000,0 days 00:00:35.173000
LEC,81.969,0 days 00:00:28.496000,0 days 00:00:18.164000,0 days 00:00:35.309000
LEC,82.433,0 days 00:00:28.845000,0 days 00:00:18.259000,0 days 00:00:35.329000
LEC,82.284,0 days 00:00:28.708000,0 days 00:00:18.276000,0 days 00:00:35.300000
LEC,81.996,0 days 00:00:28.587000,0 days 00:00:18.184000,0 days 00:00:35.225000
LEC,81.841,0 days 00:00:28.706000,0 days 00:00:18.130000,0 days 00:00:35.005000
LEC,82.022,0 days 00:00:28.743000,0 days 00:00:18.172000,0 days 00:00:35.107000
LEC,95.962,0 days 00:00:28.835000,0 days 00:00:18.205000,0 days 00:00:48.922000
LEC,87.951,0 days 00:00:34.283000,0 days 00:00:18.437000,0 days 00:00:35.231000
LEC,81.942,0 days 00:00:28.493000,0 days 00:00:18.231000,0 days 00:00:35.218000
LEC,80.688,0 days 00:00:28.238000,0 days 00:00:18.085000,0 days 00:00:34.365000
LEC,80.949,0 days 00:00:28.100000,0 days 00:00:17.966000,0 days 00:00:34.883000
LEC,80.909,0 days 00:00:28.184000,0 days 00:00:17.887000,0 days 00:00:34.838000
LEC,80.953,0 days 00:00:28.187000,0 days 00:00:17.895000,0 days 00:00:34.871000
LEC,80.675,0 days 00:00:28.107000,0 days 00:00:17.871000,0 days 00:00:34.697000
LEC,80.849,0 days 00:00:28.366000,0 days 00:00:17.866000,0 days 00:00:34.617000
LEC,80.853,0 days 00:00:28.089000,0 days 00:00:17.823000,0 days 00:00:34.941000
LEC,80.56,0 days 00:00:28.069000,0 days 00:00:17.861000,0 days 00:00:34.630000
LEC,80.408,0 days 00:00:28.110000,0 days 00:00:17.800000,0 days 00:00:34.498000
LEC,80.76,0 days 00:00:28.049000,0 days 00:00:18.096000,0 days 00:00:34.615000
LEC,79.999,0 days 00:00:27.807000,0 days 00:00:17.791000,0 days 00:00:34.401000
LEC,80.349,0 days 00:00:28.125000,0 days 00:00:17.844000,0 days 00:00:34.380000
LEC,80.144,0 days 00:00:27.919000,0 days 00:00:17.844000,0 days 00:00:34.381000
LEC,79.925,0 days 00:00:27.895000,0 days 00:00:17.770000,0 days 00:00:34.260000
